printKey,cardName,faceIndex,faceName,layout,typeLineSource,rulesTextSource,status,priority,notes
tla:94,Day of Black Sun,0,Day of Black Sun,normal,Sorcery,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,todo,normal,
tla:95,Deadly Precision,0,Deadly Precision,normal,Sorcery,"As an additional cost to cast this spell, pay {4} or sacrifice an artifact or creature.
Destroy target creature.",todo,normal,
tle:309,Deadly Rollick,0,Deadly Rollick,normal,Instant,"If you control a commander, you may cast this spell without paying its mana cost.
Exile target creature.",todo,normal,
tle:114,Deer-Dog,0,Deer-Dog,normal,Creature — Elk Dog,First strike (This creature deals combat damage before creatures without first strike.),todo,normal,
tle:311,Deflecting Swat,0,Deflecting Swat,normal,Instant,"If you control a commander, you may cast this spell without paying its mana cost.
You may choose new targets for target spell or ability.",todo,normal,
tle:222,Deny Entry,0,Deny Entry,normal,Instant,"Counter target creature spell. Draw a card, then discard a card.",todo,normal,
tle:167,Descendants' Path,0,Descendants' Path,normal,Enchantment,"At the beginning of your upkeep, reveal the top card of your library. If it's a creature card that shares a creature type with a creature you control, you may cast it without paying its mana cost. If you don't cast it, put it on the bottom of your library.",todo,normal,
tla:131,Deserter's Disciple,0,Deserter's Disciple,normal,Creature — Human Rebel Ally,{T}: Another target creature you control with power 2 or less can't be blocked this turn.,todo,normal,
tle:103,Desperate Plea,0,Desperate Plea,normal,Sorcery — Lesson,"As an additional cost to cast this spell, sacrifice a creature.
Choose one or both —
• Return target creature card from your graveyard to the battlefield if its power is less than or equal to the sacrificed creature's power.
• Destroy target creature.",todo,normal,
tla:15,Destined Confrontation,0,Destined Confrontation,normal,Sorcery,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control.",todo,normal,
tle:27,"Diaochan, Artful Beauty",0,"Diaochan, Artful Beauty",normal,Legendary Creature — Human Advisor,"{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate only during your turn, before attackers are declared.",todo,normal,
tla:171,Diligent Zookeeper,0,Diligent Zookeeper,normal,Creature — Human Citizen Ally,"Each non-Human creature you control gets +1/+1 for each of its creature types, to a maximum of 10.",todo,normal,
tle:162,Diresight,0,Diresight,normal,Sorcery,"Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",todo,normal,
tle:28,Dockside Extortionist,0,Dockside Extortionist,normal,Creature — Goblin Pirate,"When this creature enters, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. (Treasure tokens are artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",todo,normal,
tle:235,Dragon Moose,0,Dragon Moose,normal,Creature — Dragon Elk,Haste (This creature can attack and {T} as soon as it comes under your control.),todo,normal,
tla:215,Dragonfly Swarm,0,Dragonfly Swarm,normal,Creature — Dragon Insect,"Flying, ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
This creature's power is equal to the number of noncreature, nonland cards in your graveyard.
When this creature dies, if there's a Lesson card in your graveyard, draw a card.",todo,normal,
tle:158,Dramatic Reversal,0,Dramatic Reversal,normal,Instant,Untap all nonland permanents you control.,todo,normal,
tle:2,Drannith Magistrate,0,Drannith Magistrate,normal,Creature — Human Wizard,Your opponents can't cast spells from anywhere other than their hands.,todo,normal,
tle:153,Duelist's Heritage,0,Duelist's Heritage,normal,Enchantment,"Whenever one or more creatures attack, you may have target attacking creature gain double strike until end of turn.",todo,normal,
tle:92,Dutiful Knowledge Seeker,0,Dutiful Knowledge Seeker,normal,Creature — Fox Spirit,"Whenever one or more cards are put into a library from anywhere, put a +1/+1 counter on this creature.
{3}: Put target card from a graveyard on the bottom of its owner's library.",todo,normal,
tla:217,Earth King's Lieutenant,0,Earth King's Lieutenant,normal,Creature — Human Soldier Ally,"Trample
When this creature enters, put a +1/+1 counter on each other Ally creature you control.
Whenever another Ally you control enters, put a +1/+1 counter on this creature.",todo,normal,
tla:173,Earth Kingdom General,0,Earth Kingdom General,normal,Creature — Human Soldier Ally,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you put one or more +1/+1 counters on a creature, you may gain that much life. Do this only once each turn.",todo,normal,
tla:16,Earth Kingdom Jailer,0,Earth Kingdom Jailer,normal,Creature — Human Soldier Ally,"When this creature enters, exile up to one target artifact, creature, or enchantment an opponent controls with mana value 3 or greater until this creature leaves the battlefield.",todo,normal,
tla:17,Earth Kingdom Protectors,0,Earth Kingdom Protectors,normal,Creature — Human Soldier Ally,"Vigilance
Sacrifice this creature: Another target Ally you control gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",todo,normal,
tla:216,Earth Kingdom Soldier,0,Earth Kingdom Soldier,normal,Creature — Human Soldier,"Vigilance
When this creature enters, put a +1/+1 counter on each of up to two target creatures you control.",todo,normal,
tla:174,Earth Rumble,0,Earth Rumble,normal,Sorcery,"Earthbend 2. When you do, up to one target creature you control fights target creature an opponent controls. (To earthbend 2, target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped. Creatures that fight each deal damage equal to their power to the other.)",todo,normal,
tla:218,Earth Rumble Wrestlers,0,Earth Rumble Wrestlers,normal,Creature — Human Warrior Performer,"Reach
This creature gets +1/+0 and has trample as long as you control a land creature or a land entered the battlefield under your control this turn.",todo,normal,
tla:219,Earth Village Ruffians,0,Earth Village Ruffians,normal,Creature — Human Soldier Rogue,"When this creature dies, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:175,Earthbender Ascension,0,Earthbender Ascension,normal,Enchantment,"When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.",todo,normal,
tla:176,Earthbending Lesson,0,Earthbending Lesson,normal,Sorcery — Lesson,"Earthbend 4. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:249,Earthbending Student,0,Earthbending Student,normal,Creature — Human Warrior Ally,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Land creatures you control have vigilance. (Attacking doesn't cause them to tap.)",todo,normal,
tla:177,Earthen Ally,0,Earthen Ally,normal,Creature — Human Soldier Ally,"This creature gets +1/+0 for each color among Allies you control.
{2}{W}{U}{B}{R}{G}: Earthbend 5. (Target land you control becomes a 0/0 creature with haste that's still a land. Put five +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:67,Earthshape,0,Earthshape,normal,Instant,Earthbend 3. Then each creature you control with power less than or equal to that land's power gains hexproof and indestructible until end of turn. You gain hexproof until end of turn.,todo,normal,
tle:250,Eel-Hounds,0,Eel-Hounds,normal,Creature — Fish Dog,"Trample (This creature can deal excess combat damage to the player it's attacking.)
Whenever this creature attacks, another target creature you control gets +2/+2 and gains trample until end of turn.",todo,normal,
tle:48,Eladamri's Call,0,Eladamri's Call,normal,Instant,"Search your library for a creature card, reveal that card, put it into your hand, then shuffle.",todo,normal,
tle:40,Elemental Bond,0,Elemental Bond,normal,Enchantment,"Whenever a creature you control with power 3 or greater enters, draw a card.",todo,normal,
tla:178,Elemental Teachings,0,Elemental Teachings,normal,Instant — Lesson,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",todo,normal,
tle:138,Elephant-Mandrill,0,Elephant-Mandrill,normal,Creature — Elephant Monkey,"Reach
When this creature enters, each player creates a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
At the beginning of combat on your turn, this creature gets +1/+1 until end of turn for each artifact your opponents control.",todo,normal,
tle:228,Elephant-Rat,0,Elephant-Rat,normal,Creature — Elephant Rat,Menace (This creature can't be blocked except by two or more creatures.),todo,normal,
tla:48,Ember Island Production,0,Ember Island Production,normal,Sorcery,"Choose one —
• Create a token that's a copy of target creature you control, except it's not legendary and it's a 4/4 Hero in addition to its other types.
• Create a token that's a copy of target creature an opponent controls, except it's not legendary and it's a 2/2 Coward in addition to its other types.",todo,normal,
tle:3,Empty City Ruse,0,Empty City Ruse,normal,Sorcery,Target opponent skips all combat phases of their next turn.,todo,normal,
tla:2,Energybending,0,Energybending,normal,Instant — Lesson,"Lands you control gain all basic land types until end of turn.
Draw a card.",todo,normal,
tle:305,Enlightened Tutor,0,Enlightened Tutor,normal,Instant,"Search your library for an artifact or enchantment card, reveal it, then shuffle and put that card on top.",todo,normal,
tla:18,Enter the Avatar State,0,Enter the Avatar State,normal,Instant — Lesson,"Until end of turn, target creature you control becomes an Avatar in addition to its other types and gains flying, first strike, lifelink, and hexproof. (A creature with hexproof can't be the target of spells or abilities your opponents control.)",todo,normal,
tle:310,Entomb,0,Entomb,normal,Instant,"Search your library for a card, put that card into your graveyard, then shuffle.",todo,normal,
tla:96,Epic Downfall,0,Epic Downfall,normal,Sorcery,Exile target creature with mana value 3 or greater.,todo,normal,
tle:259,Explore,0,Explore,normal,Sorcery,"You may play an additional land this turn.
Draw a card.",todo,normal,
tle:236,Explosive Shot,0,Explosive Shot,normal,Sorcery,Explosive Shot deals 4 damage to target creature.,todo,normal,
tle:57,Fabled Passage,0,Fabled Passage,normal,Land,"{T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Then if you control four or more lands, untap that land.",todo,normal,
tla:19,Fancy Footwork,0,Fancy Footwork,normal,Instant — Lesson,Untap one or two target creatures. They each get +2/+2 until end of turn.,todo,normal,
tle:115,"Fang, Roku's Companion",0,"Fang, Roku's Companion",normal,Legendary Creature — Dragon,"Flying
Whenever Fang attacks, another target legendary creature you control gets +X/+0 until end of turn, where X is Fang's power.
When Fang dies, if he wasn't a Spirit, return this card to the battlefield under your control. He's a Spirit in addition to his other types.",todo,normal,
tla:97,Fatal Fissure,0,Fatal Fissure,normal,Instant,"Choose target creature. When that creature dies this turn, you earthbend 4. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tla:132,Fated Firepower,0,Fated Firepower,normal,Enchantment,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",todo,normal,
tle:257,Feed the Swarm,0,Feed the Swarm,normal,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,todo,normal,
tle:29,Fervor,0,Fervor,normal,Enchantment,Creatures you control have haste. (They can attack and {T} as soon as they come under your control.),todo,normal,
tle:49,Fevered Visions,0,Fevered Visions,normal,Enchantment,"At the beginning of each player's end step, that player draws a card. If the player is your opponent and has four or more cards in hand, this enchantment deals 2 damage to that player.",todo,normal,
tle:307,Fierce Guardianship,0,Fierce Guardianship,normal,Instant,"If you control a commander, you may cast this spell without paying its mana cost.
Counter target noncreature spell.",todo,normal,
tle:165,Fiery Confluence,0,Fiery Confluence,normal,Sorcery,"Choose three. You may choose the same mode more than once.
• Fiery Confluence deals 1 damage to each creature.
• Fiery Confluence deals 2 damage to each opponent.
• Destroy target artifact.",todo,normal,
tla:220,Fire Lord Azula,0,Fire Lord Azula,normal,Legendary Creature — Human Noble,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
Whenever you cast a spell while Fire Lord Azula is attacking, copy that spell. You may choose new targets for the copy. (A copy of a permanent spell becomes a token.)",todo,normal,
tle:104,Fire Lord Ozai,0,Fire Lord Ozai,normal,Legendary Creature — Human Noble,"Whenever Fire Lord Ozai attacks, you may sacrifice another creature. If you do, add an amount of {R} equal to the sacrificed creature's power. Until end of combat, you don't lose this mana as steps end.
{6}: Exile the top card of each opponent's library. Until end of turn, you may play one of those cards without paying its mana cost.",todo,normal,
tla:221,Fire Lord Zuko,0,Fire Lord Zuko,normal,Legendary Creature — Human Noble Ally,"Firebending X, where X is Fire Lord Zuko's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)
Whenever you cast a spell from exile and whenever a permanent you control enters from exile, put a +1/+1 counter on each creature you control.",todo,normal,
tle:229,Fire Nation Ambushers,0,Fire Nation Ambushers,normal,Creature — Human Soldier,Flash (You may cast this spell any time you could cast an instant.),todo,normal,
tle:237,Fire Nation Archers,0,Fire Nation Archers,normal,Creature — Human Archer,"Reach (This creature can block creatures with flying.)
{5}: This creature deals 2 damage to each opponent. Create a 2/2 red Soldier creature token.",todo,normal,
tla:133,Fire Nation Attacks,0,Fire Nation Attacks,normal,Instant,"Create two 2/2 red Soldier creature tokens with firebending 1. (Whenever a creature with firebending 1 attacks, add {R}. This mana lasts until end of combat.)
Flashback {8}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",todo,normal,
tla:134,Fire Nation Cadets,0,Fire Nation Cadets,normal,Creature — Human Soldier,"This creature has firebending 2 as long as there's a Lesson card in your graveyard. (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
{2}: This creature gets +1/+0 until end of turn.",todo,normal,
tla:99,Fire Nation Engineer,0,Fire Nation Engineer,normal,Creature — Human Artificer,"Raid — At the beginning of your end step, if you attacked this turn, put a +1/+1 counter on another target creature or Vehicle you control.",todo,normal,
tle:105,Fire Nation Occupation,0,Fire Nation Occupation,normal,Enchantment,"When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1. (Whenever it attacks, add {R}. This mana lasts until end of combat.)
Whenever you cast a spell during an opponent's turn, create a 2/2 red Soldier creature token with firebending 1.",todo,normal,
tla:268,Fire Nation Palace,0,Fire Nation Palace,normal,Land,"This land enters tapped unless you control a basic land.
{T}: Add {R}.
{1}{R}, {T}: Target creature you control gains firebending 4 until end of turn. (Whenever it attacks, add {R}{R}{R}{R}. This mana lasts until end of combat.)",todo,normal,
tla:135,Fire Nation Raider,0,Fire Nation Raider,normal,Creature — Human Soldier,"Raid — When this creature enters, if you attacked this turn, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",todo,normal,
tle:106,Fire Nation Salvagers,0,Fire Nation Salvagers,normal,Creature — Human Soldier,"Menace
When this creature enters, put a +1/+1 counter on target creature or Vehicle you control.
Whenever one or more creatures you control with counters on them deal combat damage to a player, put target creature or Vehicle card from that player's graveyard onto the battlefield under your control.",todo,normal,
tle:230,Fire Nation Sentinels,0,Fire Nation Sentinels,normal,Creature — Human Soldier,"Whenever a nontoken creature an opponent controls dies, put a +1/+1 counter on each creature you control.",todo,normal,
tle:64,Fire Nation Turret,0,Fire Nation Turret,normal,Artifact,"At the beginning of combat on your turn, up to one target creature gets +2/+0 and gains firebending 2 until end of turn.
{R}: Put a charge counter on this artifact.
Remove fifty charge counters from this artifact: It deals 50 damage to any target.",todo,normal,
tla:256,Fire Nation Warship,0,Fire Nation Warship,normal,Artifact — Vehicle,"Reach
When this Vehicle dies, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",todo,normal,
tla:100,Fire Navy Trebuchet,0,Fire Navy Trebuchet,normal,Artifact Creature — Wall,"Defender, reach
Whenever you attack, create a 2/1 colorless Construct artifact creature token with flying named Ballistic Boulder that's tapped and attacking. Sacrifice that token at the beginning of the next end step.",todo,normal,
tla:136,Fire Sages,0,Fire Sages,normal,Creature — Human Cleric,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
{1}{R}{R}: Put a +1/+1 counter on this creature.",todo,normal,
tla:137,Firebender Ascension,0,Firebender Ascension,normal,Enchantment,"When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1.
Whenever a creature you control attacking causes a triggered ability of that creature to trigger, put a quest counter on this enchantment. Then if it has four or more quest counters on it, you may copy that ability. You may choose new targets for the copy.",todo,normal,
tla:138,Firebending Lesson,0,Firebending Lesson,normal,Instant — Lesson,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Firebending Lesson deals 2 damage to target creature. If this spell was kicked, it deals 5 damage to that creature instead.",todo,normal,
tla:139,Firebending Student,0,Firebending Student,normal,Creature — Human Monk,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Firebending X, where X is this creature's power. (Whenever this creature attacks, add X {R}. This mana lasts until end of combat.)",todo,normal,
tla:49,First-Time Flyer,0,First-Time Flyer,normal,Creature — Human Pilot Ally,"Flying
This creature gets +1/+1 as long as there's a Lesson card in your graveyard.",todo,normal,
tle:166,Fists of Flame,0,Fists of Flame,normal,Instant,"Draw a card. Until end of turn, target creature gains trample and gets +1/+0 for each card you've drawn this turn. (A creature with trample can deal excess combat damage to the player or planeswalker it's attacking.)",todo,normal,
tle:306,Flawless Maneuver,0,Flawless Maneuver,normal,Instant,"If you control a commander, you may cast this spell without paying its mana cost.
Creatures you control gain indestructible until end of turn.",todo,normal,
tla:50,Flexible Waterbender,0,Flexible Waterbender,normal,Creature — Human Warrior Ally,"Vigilance
Waterbend {3}: This creature has base power and toughness 5/2 until end of turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",todo,normal,
tla:179,"Flopsie, Bumi's Buddy",0,"Flopsie, Bumi's Buddy",normal,Legendary Creature — Ape Goat,"When Flopsie enters, put a +1/+1 counter on each creature you control.
Each creature you control with power 4 or greater can't be blocked by more than one creature.",todo,normal,
tle:223,Flying Dolphin-Fish,0,Flying Dolphin-Fish,normal,Creature — Whale Fish,Flying (This creature can't be blocked except by creatures with flying or reach.),todo,normal,
tla:269,Foggy Bottom Swamp,0,Foggy Bottom Swamp,normal,Land,"This land enters tapped.
{T}: Add {B} or {G}.
{4}, {T}, Sacrifice this land: Draw a card.",todo,normal,
tla:101,Foggy Swamp Hunters,0,Foggy Swamp Hunters,normal,Creature — Human Ranger Ally,"As long as you've drawn two or more cards this turn, this creature has lifelink and menace. (It can't be blocked except by two or more creatures.)",todo,normal,
tla:222,Foggy Swamp Spirit Keeper,0,Foggy Swamp Spirit Keeper,normal,Creature — Human Druid Ally,"Lifelink
Whenever you draw your second card each turn, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",todo,normal,
tla:180,Foggy Swamp Vinebender,0,Foggy Swamp Vinebender,normal,Creature — Human Plant Ally,"This creature can't be blocked by creatures with power 2 or less.
Waterbend {5}: Put a +1/+1 counter on this creature. Activate only during your turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",todo,normal,
tla:102,Foggy Swamp Visions,0,Foggy Swamp Visions,normal,Sorcery,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Exile X target creature cards from graveyards. For each creature card exiled this way, create a token that's a copy of it. At the beginning of your next end step, sacrifice those tokens.",todo,normal,
tle:13,Force of Negation,0,Force of Negation,normal,Instant,"If it's not your turn, you may exile a blue card from your hand rather than pay this spell's mana cost.
Counter target noncreature spell. If that spell is countered this way, exile it instead of putting it into its owner's graveyard.",todo,normal,
tla:51,Forecasting Fortune Teller,0,Forecasting Fortune Teller,normal,Creature — Human Advisor Ally,"When this creature enters, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",todo,normal,
tla:286,Forest,0,Forest,normal,Basic Land — Forest,({T}: Add {G}.),todo,normal,
tle:116,Founding of Omashu,0,Founding of Omashu,saga,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create two 1/1 white Ally creature tokens.
II — You may discard a card. If you do, draw a card.
III — Creatures you control get +1/+0 until end of turn.",todo,normal,
tle:117,Frantic Confrontation,0,Frantic Confrontation,normal,Instant,Target creature you control gets +X/+0 and gains first strike and trample until end of turn.,todo,normal,
tle:159,Frantic Search,0,Frantic Search,normal,Instant,"Draw two cards, then discard two cards. Untap up to three lands.",todo,normal,
tle:118,Freedom Fighter Recruit,0,Freedom Fighter Recruit,normal,Creature — Human Rebel Ally,Freedom Fighter Recruit's power is equal to the number of creatures you control.,todo,normal,
tle:251,Frog-Squirrels,0,Frog-Squirrels,normal,Creature — Frog Squirrel,Reach (This creature can block creatures with flying.),todo,normal,
tle:312,Gamble,0,Gamble,normal,Sorcery,"Search your library for a card, put that card into your hand, discard a card at random, then shuffle.",todo,normal,
tla:20,Gather the White Lotus,0,Gather the White Lotus,normal,Sorcery,"Create a 1/1 white Ally creature token for each Plains you control. Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",todo,normal,
tla:52,Geyser Leaper,0,Geyser Leaper,normal,Creature — Human Warrior Ally,"Flying
Waterbend {4}: Draw a card, then discard a card. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",todo,normal,
tle:107,Giant Fly,0,Giant Fly,normal,Creature — Insect,"Flying
Whenever you sacrifice another permanent, this creature gets +1/+0 until end of turn.",todo,normal,
tla:53,Giant Koi,0,Giant Koi,normal,Creature — Fish,"Waterbend {3}: This creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",todo,normal,
tle:231,Gilacorn,0,Gilacorn,normal,Creature — Lizard,Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),todo,normal,
tla:21,Glider Kids,0,Glider Kids,normal,Creature — Human Pilot Ally,"Flying
When this creature enters, scry 1. (Look at the top card of your library. You may put it on the bottom.)",todo,normal,
tla:22,Glider Staff,0,Glider Staff,normal,Artifact — Equipment,"When this Equipment enters, airbend up to one target creature. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Equipped creature gets +1/+1 and has flying.
Equip {2}",todo,normal,
tla:54,Gran-Gran,0,Gran-Gran,normal,Legendary Creature — Human Peasant Ally,"Whenever Gran-Gran becomes tapped, draw a card, then discard a card.
Noncreature spells you cast cost {1} less to cast as long as there are three or more Lesson cards in your graveyard.",todo,normal,
tla:181,Great Divide Guide,0,Great Divide Guide,normal,Creature — Human Scout Ally,"Each land and Ally you control has ""{T}: Add one mana of any color.""",todo,normal,
tla:223,Guru Pathik,0,Guru Pathik,normal,Legendary Creature — Human Monk Ally,"When Guru Pathik enters, look at the top five cards of your library. You may reveal a Lesson, Saga, or Shrine card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.
Whenever you cast a Lesson, Saga, or Shrine spell, put a +1/+1 counter on another target creature you control.",todo,normal,
tla:23,"Hakoda, Selfless Commander",0,"Hakoda, Selfless Commander",normal,Legendary Creature — Human Warrior Ally,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",todo,normal,
tla:224,"Hama, the Bloodbender",0,"Hama, the Bloodbender",normal,Legendary Creature — Human Warlock,"When Hama enters, target opponent mills three cards. Exile up to one noncreature, nonland card from that player's graveyard. For as long as you control Hama, you may cast the exiled card during your turn by waterbending {X} rather than paying its mana cost, where X is its mana value. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",todo,normal,
tla:182,"Haru, Hidden Talent",0,"Haru, Hidden Talent",normal,Legendary Creature — Human Peasant Ally,"Whenever another Ally you control enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)",todo,normal,
tle:42,Heartbeat of Spring,0,Heartbeat of Spring,normal,Enchantment,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",todo,normal,
tla:103,Heartless Act,0,Heartless Act,normal,Instant,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature.",todo,normal,
tle:139,"Hei Bai, Forest Guardian",0,"Hei Bai, Forest Guardian",normal,Legendary Creature — Bear Spirit,"When Hei Bai enters, reveal cards from the top of your library until you reveal a Shrine card. You may put that card onto the battlefield. Then shuffle.
{W}{U}{B}{R}{G}, {T}: For each legendary enchantment you control, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",todo,normal,
tla:225,"Hei Bai, Spirit of Balance",0,"Hei Bai, Spirit of Balance",normal,Legendary Creature — Bear Spirit,"Whenever Hei Bai enters or attacks, you may sacrifice another creature or artifact. If you do, put two +1/+1 counters on Hei Bai.
When Hei Bai leaves the battlefield, put its counters on target creature you control.",todo,normal,
tla:226,Hermitic Herbalist,0,Hermitic Herbalist,normal,Creature — Human Druid Ally,"{T}: Add one mana of any color.
{T}: Add two mana in any combination of colors. Spend this mana only to cast Lesson spells.",todo,normal,
tle:43,Heroic Intervention,0,Heroic Intervention,normal,Instant,Permanents you control gain hexproof and indestructible until end of turn.,todo,normal,
tle:252,Hippo-Cows,0,Hippo-Cows,normal,Creature — Hippo Ox,Trample (This creature can deal excess combat damage to the player it's attacking.),todo,normal,
tla:104,Hog-Monkey,0,Hog-Monkey,normal,Creature — Boar Monkey,"At the beginning of combat on your turn, target creature you control with a +1/+1 counter on it gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Exhaust — {5}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)",todo,normal,
tle:255,Hog-Monkey Rampage,0,Hog-Monkey Rampage,normal,Instant,Choose target creature you control and target creature an opponent controls. Put a +1/+1 counter on the creature you control if it has power 4 or greater. Then those creatures fight each other. (Each deals damage equal to its power to the other.),todo,normal,
tla:55,Honest Work,0,Honest Work,normal,Enchantment — Aura,"Enchant creature an opponent controls
When this Aura enters, tap enchanted creature and remove all counters from it.
Enchanted creature loses all abilities and is a Citizen with base power and toughness 1/1 and ""{T}: Add {C}"" named Humble Merchant. (It loses all other creature types and names.)",todo,normal,
tle:147,Hook Swords,0,Hook Swords,normal,Artifact — Equipment,"When this Equipment enters, create a 1/1 white Ally creature token, then attach this Equipment to it.
During your turn, equipped creature gets +1/+1 and has first strike.
Equip {3}",todo,normal,
tla:140,How to Start a Riot,0,How to Start a Riot,normal,Instant — Lesson,"Target creature gains menace until end of turn. (It can't be blocked except by two or more creatures.)
Creatures target player controls get +2/+0 until end of turn.",todo,normal,
tle:30,Humble Defector,0,Humble Defector,normal,Creature — Human Rogue,{T}: Draw two cards. Target opponent gains control of this creature. Activate only during your turn.,todo,normal,
tla:56,Iguana Parrot,0,Iguana Parrot,normal,Creature — Lizard Bird Pirate,"Flying, vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",todo,normal,
tle:14,Imprisoned in the Moon,0,Imprisoned in the Moon,normal,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",todo,normal,
tle:77,Inspired Insurgent,0,Inspired Insurgent,normal,Creature — Human Peasant Ally,"{1}, Sacrifice this creature: Destroy target artifact or enchantment.",todo,normal,
tle:168,Inspiring Call,0,Inspiring Call,normal,Instant,"Draw a card for each creature you control with a +1/+1 counter on it. Those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",todo,normal,
tle:31,Insurrection,0,Insurrection,normal,Sorcery,Untap all creatures and gain control of them until end of turn. They gain haste until end of turn.,todo,normal,
